,Molecule ID,Solvent-Combo,Method Name,Method Category,File Name,Predicted logD,Experimental logD,Absolute Error
200,SAMPL8-9,Ethyl acetate-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,1.16,-0.8,1.96
201,SAMPL8-6,Ethyl acetate-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-0.9,-0.1,0.8
202,SAMPL8-5,Ethyl acetate-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,0.92,0.1,0.8200000000000001
203,SAMPL8-3,Ethyl acetate-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-2.6,-0.8,1.8
204,SAMPL8-1,Ethyl acetate-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,0.41,0.3,0.10999999999999999
205,SAMPL8-5,Cyclohexane-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-0.28,-1.1,0.8200000000000001
206,SAMPL8-16,Octanol-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,0.71,-0.4,1.1099999999999999
207,SAMPL8-14,Octanol-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,0.35,-1.0,1.35
208,SAMPL8-12,Octanol-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,0.47,-0.7,1.17
209,SAMPL8-10,Octanol-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-0.53,-0.6,0.06999999999999995
210,SAMPL8-9,Octanol-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,0.72,-0.1,0.82
211,SAMPL8-7,Octanol-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-0.34,-1.3,0.96
212,SAMPL8-6,Octanol-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-1.35,-0.4,0.9500000000000001
213,SAMPL8-5,Octanol-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,0.19,-0.5,0.69
214,SAMPL8-1,Octanol-water,"M06LLogD8,4",Physical (QM),logD-davyguan-1,-0.65,0.8,1.4500000000000002
