microstate ID,canonical isomeric SMILES,Estimated Formal Charge
SAMPL8-21_micro001,COc1cc(cc(c1[O-])OC)Cc2c(=N)[nH+]c([n-]c2OC)[NH-],-2
SAMPL8-21_micro002,COc1cc(cc(c1[O-])OC)Cc2c(nc([nH+]c2OC)[NH-])[NH-],-2
SAMPL8-21_micro003,COc1cc(cc(c1O)OC)Cc2c(nc(=[NH2+])[n-]c2OC)[NH-],-1
SAMPL8-21_micro004,COc1cc(cc(c1[O-])OC)Cc2c(=N)nc([nH]c2OC)[NH-],-2
SAMPL8-21_micro005,COc1cc(cc(c1[O-])OC)Cc2c(=N)[n-]c(=[NH2+])[n-]c2OC,-2
SAMPL8-21_micro006,COc1cc(cc(c1O)OC)Cc2c(=N)[nH]c(=N)[n-]c2OC,-1
SAMPL8-21_micro007,COc1cc(cc(c1O)OC)Cc2c(=N)[n-]c(=N)[nH]c2OC,-1
SAMPL8-21_micro008,COc1cc(cc(c1O)OC)Cc2c(=N)nc([nH]c2OC)N,0
SAMPL8-21_micro009,COc1cc(cc(c1O)OC)Cc2c(=[NH2+])nc([n-]c2OC)[NH-],-1
SAMPL8-21_micro010,COc1cc(cc(c1[O-])OC)Cc2c(=N)[n-]c(nc2OC)[NH-],-3
SAMPL8-21_micro011,COc1cc(cc(c1O)OC)Cc2c([nH+]c(=N)[n-]c2OC)[NH-],-1
SAMPL8-21_micro012,COc1cc(cc(c1O)OC)Cc2c(=N)nc([n-]c2OC)[NH-],-2
SAMPL8-21_micro013,COc1cc(cc(c1[O-])OC)Cc2c(=N)[nH]c(nc2OC)[NH-],-2
SAMPL8-21_micro014,COc1cc(cc(c1O)OC)Cc2c([n-]c(=N)nc2OC)N,-1
SAMPL8-21_micro015,COc1cc(cc(c1[O-])OC)Cc2c(=[NH2+])nc([n-]c2OC)[NH-],-2
SAMPL8-21_micro016,COc1cc(cc(c1O)OC)Cc2c(nc(nc2OC)N)[NH-],-1
SAMPL8-21_micro017,COc1cc(cc(c1[O-])OC)Cc2c(nc(=N)[n-]c2OC)N,-2
SAMPL8-21_micro018,COc1cc(cc(c1[O-])OC)Cc2c(=N)[nH]c(nc2OC)N,-1
SAMPL8-21_micro019,COc1cc(cc(c1O)OC)Cc2c([n-]c(=N)[nH+]c2OC)[NH-],-1
SAMPL8-21_micro020,COc1cc(cc(c1[O-])OC)Cc2c(nc(=N)[nH]c2OC)N,-1
SAMPL8-21_micro021,COc1cc(cc(c1[O-])OC)Cc2c(=N)[n-]c(nc2OC)N,-2
SAMPL8-21_micro022,COc1cc(cc(c1[O-])OC)Cc2c(nc(nc2OC)N)N,-1
SAMPL8-21_micro023,COc1cc(cc(c1O)OC)Cc2c(=N)[nH]c(nc2OC)N,0
SAMPL8-21_micro024,COc1cc(cc(c1[O-])OC)Cc2c([nH]c(=N)nc2OC)N,-1
SAMPL8-21_micro025,COc1cc(cc(c1O)OC)Cc2c([nH]c(=N)nc2OC)N,0
SAMPL8-21_micro026,COc1cc(cc(c1[O-])OC)Cc2c(=N)nc([nH]c2OC)N,-1
SAMPL8-21_micro027,COc1cc(cc(c1[O-])OC)Cc2c(=N)[nH]c(=N)[nH]c2OC,-1
SAMPL8-21_micro028,COc1cc(cc(c1O)OC)Cc2c(nc(nc2OC)N)N,0
SAMPL8-21_micro029,COc1cc(cc(c1O)OC)Cc2c(nc(=N)[nH]c2OC)N,0
SAMPL8-21_dortmund002,COc1cc(Cc2c(OC)nc(N)[nH+]c2N)cc(OC)c1O,1
SAMPL8-21_dortmund004,COc1cc(Cc2c(OC)[nH]c(=N)[nH]c2=[NH2+])cc(OC)c1O,1
SAMPL8-21_dortmund006,COc1cc(Cc2c(OC)nc(=[NH2+])[nH]c2N)cc(OC)c1O,1
SAMPL8-21_dortmund008,COc1cc(Cc2c(N)nc(=[NH2+])[nH]c2OC)cc(OC)c1O,1
SAMPL8-21_dortmund009,COc1cc(Cc2c(OC)[nH]c(N)nc2=[NH2+])cc(OC)c1O,1
SAMPL8-21_dortmund011,COc1cc(Cc2c(OC)nc(N)[nH]c2=[NH2+])cc(OC)c1O,1
SAMPL8-21_dortmund001,COc1cc(Cc2c(N)[nH+]c(N)[nH+]c2OC)cc(OC)c1O,2
SAMPL8-21_dortmund003,COc1cc(Cc2c(OC)[nH]c(=[NH2+])[nH]c2=[NH2+])cc(OC)c1O,2
SAMPL8-21_dortmund007,COc1cc(Cc2c([NH3+])nc(=[NH2+])[nH]c2OC)cc(OC)c1O,2
SAMPL8-21_dortmund010,COc1cc(Cc2c(OC)[nH+]c(N)[nH]c2=[NH2+])cc(OC)c1O,2
SAMPL8-2_micro000,CS(=O)(=O)c1ccc(cc1)CCC(=O)O,0
SAMPL8-2_micro001,CS(=O)(=O)c1ccc(cc1)CCC(=O)[O-],-1
SAMPL8-2_micro002,CS(=O)(=O)c1ccc(cc1)CC=C(O)O,0
SAMPL8-2_micro003,CS(=O)(=O)c1ccc(cc1)CC=C(O)[O-],-1
SAMPL8-13_micro000,C[C@H](c1ccccc1Cl)Oc2cc(sc2C(=O)N)n3cnc4c3cc(cc4)S(=O)(=O)C,0
SAMPL8-13_micro001,C[C@H](c1ccccc1Cl)Oc2cc(sc2C(=O)N)n3c[nH+]c4c3cc(cc4)S(=O)(=O)C,1
SAMPL8-13_micro002,C[C@@H](Oc1cc(sc1C([NH-])=O)-n1cnc2ccc(cc12)S(C)(=O)=O)c1ccccc1Cl,-1
